County,Site,Plot,Crop,Date,Experiment,AllLBs,Exotic,Native,Aphids,Other.aphid.predators
Delaware,2,3,CRP,5/17/2010,1,1,0,1,0,0
Delaware,2,4,CRP,5/17/2010,1,0,0,0,0,0
Delaware,2,1,CRP,5/24/2010,1,1,0,1,0,1
Delaware,2,2,CRP,5/24/2010,,,,,,
Delaware,2,3,CRP,5/24/2010,1,1,0,1,0,0
Delaware,2,4,CRP,5/24/2010,1,0,0,0,0,1
Delaware,2,1,CRP,6/1/2010,1,0,0,0,1,1
Delaware,2,2,CRP,6/1/2010,1,0,0,0,0,0
Delaware,2,3,CRP,6/1/2010,1,1,0,1,0,0
Delaware,2,4,CRP,6/1/2010,1,0,0,0,1,3
Delaware,2,1,CRP,7/6/2010,2,1,1,0,0,0
Delaware,2,2,CRP,7/6/2010,2,0,0,0,0,1
Delaware,2,3,CRP,7/6/2010,2,0,0,0,0,0
Delaware,2,4,CRP,7/6/2010,2,0,0,0,0,2
Delaware,2,1,CRP,7/13/2010,2,0,0,0,2,1
Delaware,2,2,CRP,7/13/2010,2,0,0,0,0,1
Delaware,2,3,CRP,7/13/2010,2,0,0,0,0,1
Delaware,2,4,CRP,7/13/2010,2,1,1,0,0,7
Delaware,2,1,CRP,7/20/2010,2,0,0,0,0,1
Delaware,2,2,CRP,7/20/2010,2,0,0,0,1,0
Delaware,2,3,CRP,7/20/2010,2,0,0,0,0,0
Delaware,2,4,CRP,7/20/2010,2,2,2,0,0,1
Delaware,2,1,CRP,7/26/2010,2,1,0,1,3,0
Delaware,2,2,CRP,7/26/2010,2,0,0,0,1,0
Delaware,2,3,CRP,7/26/2010,2,0,0,0,0,0
Delaware,2,4,CRP,7/26/2010,2,0,0,0,5,0
Delaware,2,1,CRP,8/2/2010,2,1,1,0,1,1
Delaware,2,2,CRP,8/2/2010,2,0,0,0,0,0
Delaware,2,3,CRP,8/2/2010,2,0,0,0,0,0
Delaware,2,4,CRP,8/2/2010,2,0,0,0,0,0
Delaware,3,1,Soybean,7/6/2010,2,0,0,0,0,10
Delaware,3,2,Soybean,7/6/2010,2,2,2,0,0,14
Delaware,3,3,Soybean,7/6/2010,2,0,0,0,0,15
Delaware,3,4,Soybean,7/6/2010,2,0,0,0,1,9
Delaware,3,1,Soybean,7/13/2010,2,0,0,0,0,2
Delaware,3,2,Soybean,7/13/2010,2,1,1,0,0,27
Delaware,3,3,Soybean,7/13/2010,2,0,0,0,0,10
Delaware,3,4,Soybean,7/13/2010,2,0,0,0,0,9
Delaware,3,1,Soybean,7/20/2010,2,0,0,0,0,1
Delaware,3,2,Soybean,7/20/2010,2,0,0,0,0,1
Delaware,3,3,Soybean,7/20/2010,2,0,0,0,0,5
Delaware,3,4,Soybean,7/20/2010,2,0,0,0,0,2
Delaware,3,1,Soybean,7/26/2010,2,0,0,0,0,8
Delaware,3,2,Soybean,7/26/2010,2,0,0,0,0,7
Delaware,3,3,Soybean,7/26/2010,2,0,0,0,1,11
Delaware,3,4,Soybean,7/26/2010,2,1,1,0,1,7
Delaware,3,1,Soybean,8/2/2010,2,0,0,0,0,5
Delaware,3,2,Soybean,8/2/2010,2,0,0,0,0,5
Delaware,3,3,Soybean,8/2/2010,2,0,0,0,0,4
Delaware,3,4,Soybean,8/2/2010,2,1,1,0,0,0
Fayette,4,1,Alfalfa,5/17/2010,1,0,0,0,0,0
Fayette,4,2,Alfalfa,5/17/2010,1,0,0,0,0,0
Fayette,4,3,Alfalfa,5/17/2010,1,1,0,1,0,0
Fayette,4,4,Alfalfa,5/17/2010,1,0,0,0,0,0
Fayette,4,1,Alfalfa,5/24/2010,1,1,0,1,14,0
Fayette,4,2,Alfalfa,5/24/2010,1,1,0,1,9,0
Fayette,4,3,Alfalfa,5/24/2010,1,0,0,0,5,2
Fayette,4,4,Alfalfa,5/24/2010,1,2,0,2,0,3
Fayette,4,1,Alfalfa,6/1/2010,1,1,1,0,5,0
Fayette,4,2,Alfalfa,6/1/2010,,,,,,
Fayette,4,3,Alfalfa,6/1/2010,1,0,0,0,22,0
Fayette,4,4,Alfalfa,6/1/2010,1,0,0,0,17,4
Fayette,4,1,Alfalfa,6/7/2010,1,0,0,0,4,0
Fayette,4,2,Alfalfa,6/7/2010,1,0,0,0,4,0
Fayette,4,3,Alfalfa,6/7/2010,1,1,0,1,13,1
Fayette,4,4,Alfalfa,6/7/2010,1,0,0,0,43,0
Fayette,4,1,Alfalfa,7/6/2010,2,0,0,0,10,3
Fayette,4,2,Alfalfa,7/6/2010,,,,,,
Fayette,4,3,Alfalfa,7/6/2010,,,,,,
Fayette,4,4,Alfalfa,7/6/2010,,,,,,
Fayette,4,1,Alfalfa,7/13/2010,2,2,0,2,9,2
Fayette,4,2,Alfalfa,7/13/2010,2,0,0,0,4,1
Fayette,4,3,Alfalfa,7/13/2010,2,0,0,0,3,3
Fayette,4,4,Alfalfa,7/13/2010,2,0,0,0,0,0
Fayette,4,1,Alfalfa,7/20/2010,2,2,1,1,219,6
Fayette,4,2,Alfalfa,7/20/2010,2,5,5,0,231,2
Fayette,4,3,Alfalfa,7/20/2010,,,,,,
Fayette,4,4,Alfalfa,7/20/2010,2,0,0,0,202,8
Fayette,4,1,Alfalfa,7/26/2010,2,0,0,0,397,19
Fayette,4,2,Alfalfa,7/26/2010,2,4,2,2,771,15
Fayette,4,3,Alfalfa,7/26/2010,2,2,2,0,555,19
Fayette,4,4,Alfalfa,7/26/2010,2,2,2,0,787,13
Fayette,4,1,Alfalfa,8/2/2010,2,6,2,4,551,3
Fayette,4,2,Alfalfa,8/2/2010,2,3,2,1,1582,6
Fayette,4,3,Alfalfa,8/2/2010,2,1,0,1,2662,1
Fayette,4,4,Alfalfa,8/2/2010,2,3,0,3,1744,15
Fayette,5,1,CRP,5/17/2010,1,1,0,1,0,0
Fayette,5,2,CRP,5/17/2010,1,0,0,0,0,0
Fayette,5,3,CRP,5/17/2010,1,1,1,0,0,0
Fayette,5,4,CRP,5/17/2010,1,0,0,0,0,0
Fayette,5,1,CRP,5/24/2010,1,0,0,0,2,0
Fayette,5,2,CRP,5/24/2010,1,0,0,0,0,2
Fayette,5,3,CRP,5/24/2010,1,0,0,0,1,0
Fayette,5,4,CRP,5/24/2010,1,0,0,0,1,0
Fayette,5,1,CRP,6/1/2010,1,0,0,0,0,3
Fayette,5,2,CRP,6/1/2010,1,0,0,0,0,0
Fayette,5,3,CRP,6/1/2010,1,0,0,0,0,1
Fayette,5,4,CRP,6/1/2010,1,0,0,0,0,0
Fayette,5,1,CRP,6/7/2010,1,0,0,0,1,1
Fayette,5,2,CRP,6/7/2010,1,0,0,0,0,1
Fayette,5,3,CRP,6/7/2010,1,0,0,0,0,0
Fayette,5,4,CRP,6/7/2010,1,1,0,1,0,0
Fayette,5,1,CRP,7/6/2010,2,0,0,0,0,0
Fayette,5,2,CRP,7/6/2010,2,0,0,0,0,1
Fayette,5,3,CRP,7/6/2010,2,0,0,0,0,3
Fayette,5,4,CRP,7/6/2010,2,0,0,0,0,4
Fayette,5,1,CRP,7/13/2010,2,0,0,0,0,1
Fayette,5,2,CRP,7/13/2010,2,0,0,0,0,1
Fayette,5,3,CRP,7/13/2010,2,0,0,0,0,1
Fayette,5,4,CRP,7/13/2010,2,0,0,0,0,0
Fayette,5,1,CRP,7/20/2010,2,0,0,0,0,1
Fayette,5,2,CRP,7/20/2010,2,0,0,0,0,0
Fayette,5,3,CRP,7/20/2010,2,0,0,0,0,2
Fayette,5,4,CRP,7/20/2010,2,0,0,0,0,1
Fayette,5,1,CRP,7/26/2010,2,0,0,0,0,0
Fayette,5,2,CRP,7/26/2010,2,0,0,0,0,0
Fayette,5,3,CRP,7/26/2010,2,0,0,0,0,1
Fayette,5,4,CRP,7/26/2010,2,0,0,0,0,0
Fayette,5,1,CRP,8/2/2010,2,0,0,0,1,0
Fayette,5,2,CRP,8/2/2010,2,0,0,0,0,1
Fayette,5,3,CRP,8/2/2010,2,0,0,0,0,0
Fayette,5,4,CRP,8/2/2010,2,0,0,0,0,5
Fayette,6,1,Soybean,7/6/2010,2,0,0,0,0,2
Fayette,6,2,Soybean,7/6/2010,2,0,0,0,0,2
Fayette,6,3,Soybean,7/6/2010,2,0,0,0,0,6
Fayette,6,4,Soybean,7/6/2010,,,,,,
Fayette,6,1,Soybean,7/13/2010,2,0,0,0,0,0
Fayette,6,2,Soybean,7/13/2010,2,0,0,0,0,0
Fayette,6,3,Soybean,7/13/2010,2,0,0,0,0,0
Fayette,6,4,Soybean,7/13/2010,2,0,0,0,0,0
Fayette,6,1,Soybean,7/20/2010,2,0,0,0,0,14
Fayette,6,2,Soybean,7/20/2010,2,0,0,0,0,2
Fayette,6,3,Soybean,7/20/2010,2,0,0,0,0,3
Fayette,6,4,Soybean,7/20/2010,2,0,0,0,2,2
Fayette,6,1,Soybean,7/26/2010,2,0,0,0,0,1
Fayette,6,2,Soybean,7/26/2010,2,0,0,0,2,10
Fayette,6,3,Soybean,7/26/2010,2,0,0,0,0,4
Fayette,6,4,Soybean,7/26/2010,2,0,0,0,0,9
Fayette,6,1,Soybean,8/2/2010,2,0,0,0,0,3
Fayette,6,2,Soybean,8/2/2010,2,0,0,0,0,3
Fayette,6,3,Soybean,8/2/2010,2,0,0,0,0,1
Fayette,6,4,Soybean,8/2/2010,2,0,0,0,0,2
Huron,7,1,Alfalfa,5/20/2010,1,2,0,2,51,1
Huron,7,2,Alfalfa,5/20/2010,1,1,0,1,170,0
Huron,7,3,Alfalfa,5/20/2010,1,0,0,0,0,0
Huron,7,4,Alfalfa,5/20/2010,1,4,2,2,151,0
Huron,7,1,Alfalfa,5/27/2010,1,3,2,1,208,1
Huron,7,2,Alfalfa,5/27/2010,1,9,2,7,282,1
Huron,7,3,Alfalfa,5/27/2010,1,7,2,5,258,1
Huron,7,4,Alfalfa,5/27/2010,1,6,2,4,225,0
Huron,7,1,Alfalfa,6/4/2010,1,0,0,0,41,0
Huron,7,2,Alfalfa,6/4/2010,1,2,1,1,47,3
Huron,7,3,Alfalfa,6/4/2010,1,1,0,1,26,1
Huron,7,4,Alfalfa,6/4/2010,1,0,0,0,40,6
Huron,7,1,Alfalfa,6/10/2010,1,0,0,0,6,41
Huron,7,2,Alfalfa,6/10/2010,1,2,1,1,6,49
Huron,7,3,Alfalfa,6/10/2010,1,0,0,0,2,23
Huron,7,4,Alfalfa,6/10/2010,1,0,0,0,4,20
Huron,7,1,Alfalfa,7/9/2010,2,0,0,0,0,0
Huron,7,2,Alfalfa,7/9/2010,2,0,0,0,0,0
Huron,7,3,Alfalfa,7/9/2010,2,1,1,0,0,0
Huron,7,4,Alfalfa,7/9/2010,2,0,0,0,0,0
Huron,7,1,Alfalfa,7/23/2010,2,0,0,0,1,5
Huron,7,2,Alfalfa,7/23/2010,2,0,0,0,5,7
Huron,7,3,Alfalfa,7/23/2010,2,0,0,0,7,3
Huron,7,4,Alfalfa,7/23/2010,2,0,0,0,11,6
Huron,7,1,Alfalfa,7/28/2010,2,1,1,0,3,1
Huron,7,2,Alfalfa,7/28/2010,2,0,0,0,16,1
Huron,7,3,Alfalfa,7/28/2010,2,0,0,0,7,2
Huron,7,4,Alfalfa,7/28/2010,2,0,0,0,13,1
Huron,8,1,CRP,5/20/2010,1,0,0,0,0,0
Huron,8,2,CRP,5/20/2010,1,5,2,3,0,0
Huron,8,3,CRP,5/20/2010,1,0,0,0,0,0
Huron,8,4,CRP,5/20/2010,1,0,0,0,0,0
Huron,8,1,CRP,5/27/2010,1,0,0,0,3,0
Huron,8,2,CRP,5/27/2010,1,1,1,0,4,2
Huron,8,3,CRP,5/27/2010,1,0,0,0,0,0
Huron,8,4,CRP,5/27/2010,1,0,0,0,0,0
Huron,8,1,CRP,6/4/2010,1,0,0,0,0,1
Huron,8,2,CRP,6/4/2010,1,5,5,0,2,2
Huron,8,3,CRP,6/4/2010,1,1,1,0,0,1
Huron,8,4,CRP,6/4/2010,1,0,0,0,0,0
Huron,8,1,CRP,6/10/2010,1,0,0,0,0,1
Huron,8,2,CRP,6/10/2010,1,0,0,0,0,6
Huron,8,3,CRP,6/10/2010,1,0,0,0,0,0
Huron,8,4,CRP,6/10/2010,1,0,0,0,0,3
Huron,8,1,CRP,7/2/2010,99,0,0,0,0,0
Huron,8,2,CRP,7/2/2010,99,1,0,1,0,0
Huron,8,3,CRP,7/2/2010,99,2,2,0,0,1
Huron,8,4,CRP,7/2/2010,99,0,0,0,0,1
Huron,8,1,CRP,7/9/2010,2,0,0,0,0,0
Huron,8,2,CRP,7/9/2010,2,0,0,0,0,1
Huron,8,3,CRP,7/9/2010,2,0,0,0,0,2
Huron,8,4,CRP,7/9/2010,2,0,0,0,0,0
Huron,8,1,CRP,7/16/2010,2,0,0,0,0,0
Huron,8,2,CRP,7/16/2010,2,0,0,0,0,0
Huron,8,3,CRP,7/16/2010,2,0,0,0,0,0
Huron,8,4,CRP,7/16/2010,2,0,0,0,0,0
Huron,8,1,CRP,7/23/2010,2,0,0,0,0,2
Huron,8,2,CRP,7/23/2010,2,0,0,0,0,1
Huron,8,3,CRP,7/23/2010,2,0,0,0,0,0
Huron,8,4,CRP,7/23/2010,2,0,0,0,0,0
Huron,8,1,CRP,7/28/2010,2,0,0,0,0,1
Huron,8,2,CRP,7/28/2010,2,0,0,0,0,4
Huron,8,3,CRP,7/28/2010,2,0,0,0,0,0
Huron,8,4,CRP,7/28/2010,2,0,0,0,0,1
Huron,8,1,CRP,8/5/2010,2,0,0,0,0,0
Huron,8,2,CRP,8/5/2010,2,0,0,0,0,0
Huron,8,3,CRP,8/5/2010,2,0,0,0,0,0
Huron,8,4,CRP,8/5/2010,2,0,0,0,0,1
Huron,9,1,Soybean,7/9/2010,2,0,0,0,0,0
Huron,9,2,Soybean,7/9/2010,2,0,0,0,0,0
Huron,9,3,Soybean,7/9/2010,2,0,0,0,0,0
Huron,9,4,Soybean,7/9/2010,,,,,,
Huron,9,1,Soybean,7/16/2010,2,0,0,0,0,0
Huron,9,2,Soybean,7/16/2010,2,0,0,0,0,0
Huron,9,3,Soybean,7/16/2010,2,1,1,0,0,3
Huron,9,4,Soybean,7/16/2010,2,0,0,0,0,0
Huron,9,1,Soybean,7/23/2010,2,0,0,0,1,5
Huron,9,2,Soybean,7/23/2010,2,0,0,0,0,9
Huron,9,3,Soybean,7/23/2010,2,0,0,0,0,11
Huron,9,4,Soybean,7/23/2010,2,0,0,0,0,5
Huron,9,1,Soybean,7/28/2010,2,0,0,0,0,4
Huron,9,2,Soybean,7/28/2010,2,0,0,0,0,7
Huron,9,3,Soybean,7/28/2010,2,0,0,0,0,3
Huron,9,4,Soybean,7/28/2010,2,0,0,0,0,7
Huron,9,1,Soybean,8/5/2010,2,0,0,0,0,2
Huron,9,2,Soybean,8/5/2010,2,0,0,0,0,0
Huron,9,3,Soybean,8/5/2010,2,0,0,0,0,0
Huron,9,4,Soybean,8/5/2010,2,0,0,0,0,4
Knox,10,1,Alfalfa,5/18/2010,1,8,4,4,1,0
Knox,10,2,Alfalfa,5/18/2010,,,,,,
Knox,10,3,Alfalfa,5/18/2010,1,9,3,6,29,0
Knox,10,4,Alfalfa,5/18/2010,1,7,1,6,3,0
Knox,10,1,Alfalfa,5/25/2010,1,1,0,1,14,0
Knox,10,2,Alfalfa,5/25/2010,1,1,0,1,44,0
Knox,10,3,Alfalfa,5/25/2010,1,1,0,1,13,0
Knox,10,4,Alfalfa,5/25/2010,1,1,1,0,34,0
Knox,10,1,Alfalfa,6/2/2010,1,0,0,0,0,0
Knox,10,2,Alfalfa,6/2/2010,1,0,0,0,0,0
Knox,10,3,Alfalfa,6/2/2010,1,1,0,1,0,1
Knox,10,4,Alfalfa,6/2/2010,1,0,0,0,0,1
Knox,10,1,Alfalfa,6/8/2010,1,0,0,0,4,0
Knox,10,2,Alfalfa,6/8/2010,1,0,0,0,3,0
Knox,10,3,Alfalfa,6/8/2010,1,0,0,0,0,1
Knox,10,4,Alfalfa,6/8/2010,1,0,0,0,0,1
Knox,10,1,Alfalfa,6/28/2010,99,2,1,1,17,6
Knox,10,2,Alfalfa,6/28/2010,99,5,5,0,13,5
Knox,10,3,Alfalfa,6/28/2010,99,3,3,0,34,5
Knox,10,4,Alfalfa,6/28/2010,99,7,7,0,22,6
Knox,10,1,Alfalfa,7/14/2010,2,0,0,0,8,2
Knox,10,2,Alfalfa,7/14/2010,2,0,0,0,3,0
Knox,10,3,Alfalfa,7/14/2010,2,0,0,0,3,0
Knox,10,4,Alfalfa,7/14/2010,2,0,0,0,0,1
Knox,10,1,Alfalfa,7/21/2010,2,0,0,0,2,4
Knox,10,2,Alfalfa,7/21/2010,2,0,0,0,1,8
Knox,10,3,Alfalfa,7/21/2010,2,0,0,0,1,9
Knox,10,4,Alfalfa,7/21/2010,2,0,0,0,0,4
Knox,10,1,Alfalfa,7/21/2010,2,1,1,0,105,13
Knox,10,2,Alfalfa,7/21/2010,2,0,0,0,80,5
Knox,10,3,Alfalfa,7/21/2010,2,0,0,0,64,6
Knox,10,4,Alfalfa,7/21/2010,2,1,1,0,47,9
Knox,10,1,Alfalfa,7/27/2010,2,0,0,0,120,32
Knox,10,2,Alfalfa,7/27/2010,2,2,2,0,189,53
Knox,10,3,Alfalfa,7/27/2010,2,0,0,0,76,42
Knox,10,4,Alfalfa,7/27/2010,2,3,2,1,109,29
Knox,10,1,Alfalfa,8/3/2010,2,2,2,0,0,1
Knox,10,2,Alfalfa,8/3/2010,2,2,2,0,0,1
Knox,10,3,Alfalfa,8/3/2010,2,1,1,0,0,1
Knox,10,4,Alfalfa,8/3/2010,2,0,0,0,0,3
Knox,11,1,CRP,5/18/2010,1,0,0,0,0,0
Knox,11,2,CRP,5/18/2010,1,0,0,0,0,0
Knox,11,3,CRP,5/18/2010,1,0,0,0,0,0
Knox,11,4,CRP,5/18/2010,1,0,0,0,0,0
Knox,11,1,CRP,5/25/2010,1,0,0,0,0,0
Knox,11,2,CRP,5/25/2010,1,0,0,0,1,3
Knox,11,3,CRP,5/25/2010,1,0,0,0,0,4
Knox,11,4,CRP,5/25/2010,1,0,0,0,0,5
Knox,11,1,CRP,6/2/2010,1,0,0,0,0,4
Knox,11,2,CRP,6/2/2010,1,0,0,0,0,2
Knox,11,3,CRP,6/2/2010,1,0,0,0,0,1
Knox,11,4,CRP,6/2/2010,1,0,0,0,0,5
Knox,11,1,CRP,6/8/2010,1,0,0,0,0,11
Knox,11,2,CRP,6/8/2010,1,0,0,0,0,13
Knox,11,3,CRP,6/8/2010,1,0,0,0,0,13
Knox,11,4,CRP,6/8/2010,1,0,0,0,0,12
Knox,11,1,CRP,6/28/2010,99,0,0,0,0,3
Knox,11,2,CRP,6/28/2010,99,0,0,0,1,0
Knox,11,3,CRP,6/28/2010,99,1,1,0,0,4
Knox,11,4,CRP,6/28/2010,99,0,0,0,0,0
Knox,11,1,CRP,7/7/2010,2,0,0,0,0,2
Knox,11,2,CRP,7/7/2010,2,0,0,0,0,1
Knox,11,3,CRP,7/7/2010,2,0,0,0,0,0
Knox,11,4,CRP,7/7/2010,2,0,0,0,0,2
Knox,11,1,CRP,7/14/2010,2,0,0,0,2,0
Knox,11,2,CRP,7/14/2010,2,0,0,0,0,1
Knox,11,3,CRP,7/14/2010,2,0,0,0,0,0
Knox,11,4,CRP,7/14/2010,2,1,0,1,0,1
Knox,11,1,CRP,7/21/2010,2,0,0,0,2,1
Knox,11,2,CRP,7/21/2010,2,0,0,0,6,2
Knox,11,3,CRP,7/21/2010,2,0,0,0,0,2
Knox,11,4,CRP,7/21/2010,2,1,1,0,4,2
Knox,11,1,CRP,7/27/2010,2,1,1,0,0,0
Knox,11,2,CRP,7/27/2010,2,0,0,0,4,1
Knox,11,3,CRP,7/27/2010,2,0,0,0,0,0
Knox,11,4,CRP,7/27/2010,2,0,0,0,10,0
Knox,11,1,CRP,8/3/2010,2,0,0,0,0,0
Knox,11,2,CRP,8/3/2010,2,0,0,0,0,0
Knox,11,3,CRP,8/3/2010,2,0,0,0,1,0
Knox,11,4,CRP,8/3/2010,2,0,0,0,0,1
Knox,12,1,Soybean,7/7/2010,2,1,1,0,0,7
Knox,12,2,Soybean,7/7/2010,2,0,0,0,0,11
Knox,12,3,Soybean,7/7/2010,2,1,1,0,0,6
Knox,12,4,Soybean,7/7/2010,2,0,0,0,0,13
Knox,12,1,Soybean,7/14/2010,2,0,0,0,0,12
Knox,12,2,Soybean,7/14/2010,2,0,0,0,0,12
Knox,12,3,Soybean,7/14/2010,2,1,1,0,0,10
Knox,12,4,Soybean,7/14/2010,2,0,0,0,1,5
Knox,12,1,Soybean,7/27/2010,2,0,0,0,0,6
Knox,12,2,Soybean,7/27/2010,2,0,0,0,0,7
Knox,12,3,Soybean,7/27/2010,2,0,0,0,0,26
Knox,12,4,Soybean,7/27/2010,2,0,0,0,0,9
Knox,12,1,Soybean,8/3/2010,2,0,0,0,0,0
Knox,12,2,Soybean,8/3/2010,2,1,1,0,0,0
Knox,12,3,Soybean,8/3/2010,2,0,0,0,0,0
Knox,12,4,Soybean,8/3/2010,,,,,,
Perry,13,1,Alfalfa,5/18/2010,1,2,0,2,16,0
Perry,13,2,Alfalfa,5/18/2010,1,3,1,2,0,0
Perry,13,3,Alfalfa,5/18/2010,1,1,1,0,10,0
Perry,13,4,Alfalfa,5/18/2010,1,0,0,0,19,0
Perry,13,1,Alfalfa,6/2/2010,1,0,0,0,4,1
Perry,13,2,Alfalfa,6/2/2010,1,0,0,0,5,1
Perry,13,3,Alfalfa,6/2/2010,1,0,0,0,1,1
Perry,13,4,Alfalfa,6/2/2010,1,0,0,0,1,1
Perry,13,1,Alfalfa,6/8/2010,1,0,0,0,8,2
Perry,13,2,Alfalfa,6/8/2010,1,1,0,1,23,2
Perry,13,3,Alfalfa,6/8/2010,1,0,0,0,11,2
Perry,13,4,Alfalfa,6/8/2010,1,0,0,0,2,2
Perry,13,1,Alfalfa,7/14/2010,2,0,0,0,9,1
Perry,13,2,Alfalfa,7/14/2010,2,1,1,0,2,0
Perry,13,3,Alfalfa,7/14/2010,2,0,0,0,3,0
Perry,13,4,Alfalfa,7/14/2010,2,0,0,0,0,0
Perry,13,1,Alfalfa,7/21/2010,2,2,2,0,129,12
Perry,13,2,Alfalfa,7/21/2010,2,4,3,1,72,1
Perry,13,3,Alfalfa,7/21/2010,2,0,0,0,203,8
Perry,13,4,Alfalfa,7/21/2010,2,3,0,3,63,6
Perry,13,1,Alfalfa,7/27/2010,2,2,2,0,93,18
Perry,13,2,Alfalfa,7/27/2010,2,5,5,0,63,15
Perry,13,3,Alfalfa,7/27/2010,2,2,1,1,73,24
Perry,13,4,Alfalfa,7/27/2010,2,1,0,1,66,4
Perry,13,1,Alfalfa,8/3/2010,2,1,0,1,0,1
Perry,13,2,Alfalfa,8/3/2010,2,0,0,0,0,1
Perry,13,3,Alfalfa,8/3/2010,2,0,0,0,2,3
Perry,13,4,Alfalfa,8/3/2010,2,0,0,0,1,5
Perry,14,1,CRP,5/18/2010,1,0,0,0,0,0
Perry,14,2,CRP,5/18/2010,1,0,0,0,1,0
Perry,14,3,CRP,5/18/2010,1,1,0,1,0,0
Perry,14,4,CRP,5/18/2010,1,0,0,0,2,0
Perry,14,1,CRP,5/25/2010,1,0,0,0,1,6
Perry,14,2,CRP,5/25/2010,1,1,1,0,1,6
Perry,14,3,CRP,5/25/2010,1,0,0,0,2,1
Perry,14,4,CRP,5/25/2010,1,1,0,1,0,1
Perry,14,1,CRP,6/2/2010,1,1,0,1,2,5
Perry,14,2,CRP,6/2/2010,1,0,0,0,1,3
Perry,14,3,CRP,6/2/2010,1,0,0,0,1,1
Perry,14,4,CRP,6/2/2010,1,1,1,0,1,0
Perry,14,1,CRP,6/8/2010,1,0,0,0,0,1
Perry,14,2,CRP,6/8/2010,1,0,0,0,0,0
Perry,14,3,CRP,6/8/2010,1,0,0,0,0,1
Perry,14,4,CRP,6/8/2010,1,0,0,0,0,2
Perry,14,1,CRP,7/7/2010,2,0,0,0,0,0
Perry,14,2,CRP,7/7/2010,2,0,0,0,1,1
Perry,14,3,CRP,7/7/2010,2,3,0,3,0,0
Perry,14,4,CRP,7/7/2010,2,1,0,1,0,0
Perry,14,1,CRP,7/14/2010,2,1,0,1,0,0
Perry,14,2,CRP,7/14/2010,2,0,0,0,0,1
Perry,14,3,CRP,7/14/2010,2,4,0,4,0,0
Perry,14,4,CRP,7/14/2010,2,0,0,0,0,2
Perry,14,1,CRP,7/21/2010,2,0,0,0,0,1
Perry,14,2,CRP,7/21/2010,2,0,0,0,1,3
Perry,14,3,CRP,7/21/2010,2,1,0,1,0,5
Perry,14,4,CRP,7/21/2010,2,0,0,0,1,0
Perry,14,1,CRP,7/27/2010,2,2,0,2,0,0
Perry,14,2,CRP,7/27/2010,2,0,0,0,0,0
Perry,14,3,CRP,7/27/2010,2,0,0,0,0,0
Perry,14,4,CRP,7/27/2010,2,2,2,0,0,1
Perry,14,1,CRP,8/3/2010,2,0,0,0,0,0
Perry,14,2,CRP,8/3/2010,2,0,0,0,0,2
Perry,14,3,CRP,8/3/2010,2,0,0,0,0,1
Perry,14,4,CRP,8/3/2010,2,1,0,1,0,0
Perry,14,1,CRP,8/10/2010,2,0,0,0,1,2
Perry,14,2,CRP,8/10/2010,2,1,0,1,0,1
Perry,14,3,CRP,8/10/2010,2,0,0,0,0,0
Perry,14,4,CRP,8/10/2010,2,0,0,0,0,0
Perry,15,1,Soybean,7/7/2010,2,0,0,0,0,1
Perry,15,2,Soybean,7/7/2010,2,0,0,0,0,3
Perry,15,3,Soybean,7/7/2010,2,0,0,0,0,4
